block_size,grid_scale_x,use_shared,use_unroll,register_limit,work_per_thread,stride_access,threads_per_block,gflops,msec_per_matmul,pass_fail,avg_power_watts,exec_time_sec,power_log_duration,exit_code,cuda_error_str,power_log_path
4,1.0,0,0,32,1,1,16,20.491803,0.012493,PASS,41.963,0.292,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r32_w1_str1.log
4,1.0,0,0,32,1,2,16,28.957530,0.008841,FAIL,42.012,0.290,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r32_w1_str2.log
4,1.0,0,0,32,2,1,16,78.864350,0.006492,PASS,41.929,0.299,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r32_w2_str1.log
4,1.0,0,0,32,2,2,16,59.358923,0.008625,FAIL,41.940,0.289,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r32_w2_str2.log
4,1.0,0,0,32,4,1,16,139.340445,0.007349,PASS,41.937,0.298,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r32_w4_str1.log
4,1.0,0,0,32,4,2,16,118.530226,0.008639,FAIL,41.899,0.290,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r32_w4_str2.log
4,1.0,0,0,64,1,1,16,20.850890,0.012278,PASS,41.989,0.300,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r64_w1_str1.log
4,1.0,0,0,64,1,2,16,28.957530,0.008841,FAIL,41.963,0.290,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r64_w1_str2.log
4,1.0,0,0,64,2,1,16,76.452600,0.006697,PASS,41.928,0.286,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r64_w2_str1.log
4,1.0,0,0,64,2,2,16,59.288538,0.008636,FAIL,41.791,0.289,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r64_w2_str2.log
4,1.0,0,0,64,4,1,16,147.783245,0.006929,PASS,41.744,0.288,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r64_w4_str1.log
4,1.0,0,0,64,4,2,16,115.830121,0.008841,FAIL,41.905,0.292,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r64_w4_str2.log
4,1.0,0,0,128,1,1,16,20.862490,0.012271,PASS,41.968,0.290,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r128_w1_str1.log
4,1.0,0,0,128,1,2,16,28.957530,0.008841,FAIL,41.917,0.298,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r128_w1_str2.log
4,1.0,0,0,128,2,1,16,76.420956,0.006700,PASS,41.973,0.289,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r128_w2_str1.log
4,1.0,0,0,128,2,2,16,59.311981,0.008632,FAIL,41.902,0.293,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r128_w2_str2.log
4,1.0,0,0,128,4,1,16,147.856080,0.006926,PASS,41.750,0.300,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u0_r128_w4_str1.log
4,1.0,0,0,128,4,2,16,118.389900,0.008649,FAIL,41.885,0.310,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u0_r128_w4_str2.log
4,1.0,0,1,32,1,1,16,23.363804,0.010957,PASS,41.885,0.304,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r32_w1_str1.log
4,1.0,0,1,32,1,2,16,47.199497,0.005424,FAIL,41.868,0.302,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r32_w1_str2.log
4,1.0,0,1,32,2,1,16,40.300914,0.012704,PASS,41.775,0.300,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r32_w2_str1.log
4,1.0,0,1,32,2,2,16,65.876151,0.007772,FAIL,41.846,0.309,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r32_w2_str2.log
4,1.0,0,1,32,4,1,16,79.218377,0.012926,PASS,41.897,0.310,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r32_w4_str1.log
4,1.0,0,1,32,4,2,16,131.636688,0.007779,FAIL,41.808,0.298,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r32_w4_str2.log
4,1.0,0,1,64,1,1,16,23.696684,0.010803,PASS,41.903,0.309,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r64_w1_str1.log
4,1.0,0,1,64,1,2,16,47.258979,0.005417,FAIL,41.830,0.303,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r64_w1_str2.log
4,1.0,0,1,64,2,1,16,41.017230,0.012483,PASS,41.948,0.300,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r64_w2_str1.log
4,1.0,0,1,64,2,2,16,65.847233,0.007776,FAIL,41.956,0.300,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r64_w2_str2.log
4,1.0,0,1,64,4,1,16,81.922446,0.012500,PASS,41.962,0.306,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r64_w4_str1.log
4,1.0,0,1,64,4,2,16,131.752302,0.007772,FAIL,41.913,0.299,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r64_w4_str2.log
4,1.0,0,1,128,1,1,16,23.696684,0.010803,PASS,41.986,0.302,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r128_w1_str1.log
4,1.0,0,1,128,1,2,16,47.229220,0.005420,FAIL,41.937,0.315,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r128_w1_str2.log
4,1.0,0,1,128,2,1,16,41.039674,0.012476,PASS,41.982,0.302,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r128_w2_str1.log
4,1.0,0,1,128,2,2,16,65.818344,0.007779,FAIL,41.870,0.302,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r128_w2_str2.log
4,1.0,0,1,128,4,1,16,81.967212,0.012493,PASS,41.918,0.301,61,0,,power_logs_all_configs/power_b4_g1.0_s0_u1_r128_w4_str1.log
4,1.0,0,1,128,4,2,16,131.752302,0.007772,FAIL,41.947,0.309,61,1,,power_logs_all_configs/power_b4_g1.0_s0_u1_r128_w4_str2.log
4,1.0,1,0,32,1,1,16,18.872672,0.013565,PASS,41.970,0.314,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u0_r32_w1_str1.log
4,1.0,1,0,32,1,2,16,23.780742,0.010765,FAIL,41.853,0.304,61,1,,power_logs_all_configs/power_b4_g1.0_s1_u0_r32_w1_str2.log
4,1.0,1,0,32,2,1,16,60.828022,0.008417,PASS,41.872,0.302,61,0,,power_logs_all_configs/power_b4_g1.0_s1_u0_r32_w2_str1.log
